name,path,scale,description
master_chef_can,/home/ja/Projects/Simulation/data/mesh/usd/object/Collected_002_master_chef_can/002_master_chef_can.usd,1.4267674697463197,master chef can
cracker_box,/home/ja/Projects/Simulation/data/mesh/usd/object/Collected_003_cracker_box/003_cracker_box.usd,0.9370446369096801,cracker box
sugar_box,/home/ja/Projects/Simulation/data/mesh/usd/object/Collected_004_sugar_box/004_sugar_box.usd,1.1347294237117778,sugar box
tomato_soup_can,/home/ja/Projects/Simulation/data/mesh/usd/object/Collected_005_tomato_soup_can/005_tomato_soup_can.usd,1.963575643352121,tomato soup can
mustard_bottle,/home/ja/Projects/Simulation/data/mesh/usd/object/Collected_006_mustard_bottle/006_mustard_bottle.usd,1.0454728275532563,mustard bottle
tuna_fish_can,/home/ja/Projects/Simulation/data/mesh/usd/object/Collected_007_tuna_fish_can/007_tuna_fish_can.usd,2.3375680710230338,tuna fish can
pudding_box,/home/ja/Projects/Simulation/data/mesh/usd/object/Collected_008_pudding_box/008_pudding_box.usd,1.759721526001798,pudding box
gelatin_box,/home/ja/Projects/Simulation/data/mesh/usd/object/Collected_009_gelatin_box/009_gelatin_box.usd,2.2425756290439227,gelatin box
potted_meat_can,/home/ja/Projects/Simulation/data/mesh/usd/object/Collected_010_potted_meat_can/010_potted_meat_can.usd,1.967597509579263,potted meat can
banana,/home/ja/Projects/Simulation/data/mesh/usd/object/Collected_011_banana/011_banana.usd,1.0143327354508216,banana
pitcher_base,/home/ja/Projects/Simulation/data/mesh/usd/object/Collected_019_pitcher_base/019_pitcher_base.usd,0.8251267955240057,pitcher base
bleach_cleanser,/home/ja/Projects/Simulation/data/mesh/usd/object/Collected_021_bleach_cleanser/021_bleach_cleanser.usd,0.7981482779705196,bleach cleanser
bowl,/home/ja/Projects/Simulation/data/mesh/usd/object/Collected_024_bowl/024_bowl.usd,1.2386739246791996,bowl
mug,/home/ja/Projects/Simulation/data/mesh/usd/object/Collected_025_mug/025_mug.usd,1.7095465179786913,mug
power_drill,/home/ja/Projects/Simulation/data/mesh/usd/object/Collected_035_power_drill/035_power_drill.usd,1.070457871628685,power drill
wood_block,/home/ja/Projects/Simulation/data/mesh/usd/object/Collected_036_wood_block/036_wood_block.usd,0.9704386120133536,wood block
scissors,/home/ja/Projects/Simulation/data/mesh/usd/object/Collected_037_scissors/037_scissors.usd,1.0140017839722548,scissors
large_marker,/home/ja/Projects/Simulation/data/mesh/usd/object/Collected_040_large_marker/040_large_marker.usd,1.6544452755954586,large marker
